ClientID,Finance PnL Code,ClientName,BU_Division,Segment,Team_Lead,Manager,Tier,SITE,CS Name - Sign Off,Sign off Date,Plan Market Value,Total Value of Service,Billed ,Unbilled,Profit Margin
DTCC,DTCX260,DEPOSITORY TRUST & CLEARING CORPORATION (DTCC),IIS,Corporate,Bob Pratt,Rob Moles,1,BOSTON,Hold – Open Billing fee review,10/31/2017,"1,237,389,076","62,500","62,500",0,
HMARKSS,HALM160,HALLMARK CARDS INC ,IIS,Corporate,Bob Pratt,Rob Moles,1,BOSTON,Olga Rudgalve/Preliminary,10/31/2017,"7,133,089,147","324,375","292,875","31,500",
MITSS,MITX160,M.I.T.,IIS,Endowment/Foundation,Bob Pratt,Rob Moles,1,BOSTON,Olga Rudgalve,11/1/2017,"21,348,711,042","219,000","217,000","2,000",
ADP,,ADP LLC (Mckinley),IIS,Asset Manager,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Eric Harris,9/20/2017,"5,861,218","3,500","3,500",0,
MONY,MONY090,MONY,USIS,Asset Manager,Bob Pratt,Rob Moles,3,BOSTON,Jack Kerrigan,9/26/2017,"63,365,835","14,250","14,250",0,
WELCHGSS,WFOO160,WELCH FOODS,IIS,Corporate,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Maggie Phan-Truong,10/31/2017,"101,943,721","17,700","16,950",750,
FRAMA,FRTX260,AREVA (FORMERLY FRAMATOME),IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Fennie Law,9/18/2017,"244,172,952","6,250","5,500",750,
ASSURANT,FRTB160,ASSURANT,IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Jack Kerrigan,9/18/2017,"846,755,353","24,250",0,"24,250",
BONTON,BONT160,BON-TON STORES,IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Jonathan King,9/19/2017,"133,040,611","21,000","12,875","8,125",
CARNEGIE,CIWX160,CARNEGIE INSTITUTE OF WASHINGTON,IIS,Endowment/Foundation,Bob Pratt,Rob Moles,3,BOSTON,Stella Chau,9/19/2017,"975,568,353","68,250","67,250","1,000",
CATALINA,Add to time file,CATALINA INVESTMENTS,IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Fennie Law,9/18/2017,"12,146,783,865","27,500","25,500","2,000",
