ClientID,ClientName,SalesforceID,Segment,MktSubSegment,Insurance,BU_Division,BusinessUnitHead,OracleID,Tier,IIS_Top_100,SSIA TOP TIER,DirectPublish,ClientStartDate,DateClientTerminated,Site_Lead,Team_Lead,Manager,Primary_Client_Contact,Analyst_1_(A&C),Analyst_2_(CSO),Analyst_3_(Coverage),SITE,BU_Relationship_Managers,BU_Client_Service,COMPLIANCE_CS,AuditLocation,AcctContact,PNASRVR,MCHREGION,DAILY,SECTOR_NAME,Oversight_Site,Oversight_Group,Operations_Email_Dist,JV_Email_Dist,Client_Specific_Email_Dist,Watchlist,CM_Requires_2nd_ Approver
/GSS,Curcio Webb,Test - Connection,,CONSULTANT,Unknown,Unknown,N/A,None,2,,,,7/1/2014,7/1/2015,,Erik Cady,Robert Young,Robert Young,None,Kevin Nickerson,None,BOSTON,None,None,,, , , , ,,BOSTON,,,,,No Status,No
/LSS,ACG,,,CONSULTANT,Unknown,Unknown,N/A,None,2,,,,7/2/2014,7/1/2015,,Erik Cady,Robert Young,Robert Young,None,Kevin Nickerson,None,BOSTON,None,None,,, , , , ,,BOSTON,,,,,No Status,No
3M,3M (Minnesota Mining and Manufacturing),001G000001jmmZG,Corporate,RETIREMENT - DC,CPS,IIS,SCHECHTER,1.00E+12,3,TOP IIS,TOP SSIA,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Da Cruz, Joao J","Da Cruz, Joao J","Sucharewicz, James M","Saar-Beckles, Merit","Labaki, Anthony J",BOSTON,Jason Landry,Victoria Denaro,Charlene Barucha,JV Pune,BENKART BRIAN,06PAW3,CI800,Yes,Asset Owners,BOSTON,N/A,Perf_East_Team2,JV_QAT_US-PnA Daily Ops,,No Status ,No
AARP,AARP,001G000001jmpTm,,VARIOUS NON PROFIT,NFP,IIS,SCHAFER,1.00E+12,2,TOP IIS,TOP SSIA,,1/1/2009,12/31/2015,,Erik Cady,Scott Swanson,Bob Young,Matt Crimmins,PAUL MACKEY,Kevin Lee,BOSTON,PINTO STEVE,Victoria Aguiar/Dahana Poyau,Nathan Ormerod,JV Pune,MCELIGOTT MICHAEL,02PAW3,CI800,No,,BOSTON,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
ABERDAM,Aberdeen Asset Management Inc. (US),001G000001jmt8d,Asset Manager,ASSET MANAGER,USIS,USIS,,1.00E+12,3,,TOP SSIA,,1/1/2009,1/31/2017,,Erik Pulsifer,Steven Osyf,Jon Frewald,Anthony Labaki,Anthony Labaki,Steven Osyf,BOSTON,John D. Moran,Christina Malfy,,JV Pune,QUAN ANDY (LS),06PAW3,NULL,No,Asset Managers,BOSTON,Core Team,,JV_QAT_US-PnA Monthly Ops,,No Status ,No
ABGSS,Anhueser Busch (all plans combined),,,RETIREMENT - DC,CPS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,7/1/2011,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
ABNAMRO,ABN AMRO,,,RETIREMENT DC,Unknown,,TERMINATED,1.00E+12,-99,,,,1/1/2009,4/30/2010,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
ABS,AMERICAN BUREAU OF SHIPPING,001G000001jmoc7,,VARIOUS NON PROFIT,NFP,IIS,SCHECHTER,1.00E+12,3,,,,3/1/2013,12/31/2016,,Kristine Treacy,Scott Swanson,Vilda Lo,Min Huang,Min Huang,Scott Swanson,BOSTON,Vokolek Chris,Vokolek Chris,,JV-Mumbai,NONE,08PAW3,CI800,Yes,,BOSTON,,,SSIA-US PnA Alameda,,No Status,No
ACERA,Alameda County Employees,001G000001jms4YIAQ,Public Funds,MUNICIPAL ENTITY,IIS,IIS,PAE,1.00E+12,3,TOP IIS,TOP SSIA,,1/1/2009,,"Pae, Lisa H","Hennessy, Carl J","Leung, Mable","Gutsan, Yevgeniy A",,,"Leung, Mable",SACRAMENTO,Tonya Cordray,Donli Overfelt,Nathan Ormerod,JV-Mumbai,Young Rick,13PAW3,CI500,No,Tonya Cordray,SACRAMENTO,N/A,Perf_West_Team1,SSIA-US PnA Alameda,,Stable,No
ACLU,ACLU - American Civil Liberties Union Foundation Inc,001G000001jmibYIAQ,Endowment/Foundation,PHILANTHROPIC,STS,IIS,SCHECHTER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pulsifer, Erik C","Michaud, Daniel","Michaud, Daniel","Stepanova, Nataliya","Jones, Crystal",,BOSTON,Cynthia Warren,Cynthia Warren,,JV Pune,SWAMI SUNDER VELLA,06PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team3,JV_QAT_US-PnA Monthly Ops,,Stable,No
ACTRAN,AC TRANSIT,,,MUNICIPAL ENTITY,USIS-Young,,JACOBS,1.00E+12,-99,,,,1/1/2009,6/30/2013,,Anita Huang,,Steven Medvecki,,,DAX JOHNSON,SACRAMENTO,DIAZ YOLANDA,,,, , , , ,,SACRAMENTO,,,,,No Status,No
ADDISIFS,ADDISON CLARK MANAGEMENT,001G000001jmsfP,Asset Manager,ASSET MANAGER,AIS,AIS,STERNER,,2, , ,,7/1/2014,,"Swan, Matthew","Gonsalves, Zico","Gonsalves, Zico","Kanthan, Vinay","Kanthan, Vinay","Kanthan, Vinay","Ng, Andrew",Toronto,"Beam, Heather","Krasowska, Beata", ,JV Pune,STERNER ERIC,22PAW3,IFS DW,Yes,,Toronto,N/A,,JV_QAT_US-PnA Daily Ops,,Stable,No
ADP,"ADP, Inc.",001G000001jmipX,Asset Manager,ASSET MANAGER,IIS,IIS,Mulligan,1.00E+13,3,,,,4/1/2015,,"Verrill, Scott M","Pratt, Robert H","Phan-Truong, Maggie M","Harris, Eric S","Harris, Eric S","Tariq, Deeba","Riihimaki, Eric",BOSTON,Peter DeMello,Matthew Spada,,JV Pune,"BERNASCONI,JOSEPH",04PAW3,CIA00,No,Asset Owners,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
ADVANCE,Advance Publications,,,RETIREMENT DC,Unknown,,TERMINATED,1.00E+12,-99,,,,1/1/2009,9/30/2009,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
ADVHS,ADVENTIST HEALTH SYSTEM,,,RETIREMENT - NONPROFIT,NFP,IIS,SCHECHTER,1.00E+12,2,,,,1/1/2009,3/31/2015,,Robert Young,Carlisle Adamson,NONE,TERMINATED,Michael Carritte,TERMINATED,BOSTON,Warren Cynthia,Victoria Aguiar,,JV Pune,MCELIGOTT MICHAEL,02PAW3,CI800,No,,BOSTON,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
AEGON,AEGON USA INVESTMENT MANAGEMENT LLC,001G000001jmok9IAA,Asset Manager,ASSET MANAGER,USIS,USIS,,,2,,,,9/9/9999,,"Verrill, Scott M","Robinson, Leonard B",,"Mackey, Paul J",,,,BOSTON,"Nikiforow, Greg",Judith Gayle,"Gooltz, Michael",,NONE,,,,,BOSTON,N/A,Perf_East_Team1,,,No Status ,No
AFHUGSS,American Friends Hebrew Univ.,,,RETIREMENT DC,Unknown,,TERMINATED,1.00E+12,-99,,,,1/1/2009,5/31/2010,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
AFNG,American Friends of Nat'l Gallery,,,PHILANTHROPIC,STS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,1/31/2011,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
AFORE,"Afore Xxi Banorte, S.A. De C.V.",001G000001jmtIU,Public Funds,AGENCY,IIS,IIS,SCHAFER,1.00E+13,2,,,,2/1/2016,,"Verrill, Scott M","Cady, Erik G","Da Cruz, Joao J","Da Cruz, Joao J","Samisheva, Yelena","Labaki, Anthony J","Saar-Beckles, Merit",BOSTON,Karen Agredo,Luis Carlos Ramirez,,JV Pune,,13PAW3,CIA00,No,Asset Owners,BOSTON,N/A,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
AGI,ALLIANZ GLOBAL INVESTORS,,Asset Manager,Asset Manager,USIS,USIS,,1.00E+13,,,,,7/17/2017,,"Swan, Matthew",Simran Sandhu,,,,,,Toronto,,,,,,,,,,Toronto,N/A,,,,No Status,No
AGINC,ARDAGH GLASS,,,DEFINED BENEFIT,IIS,IIS,SCHECHTER,1.00E+12,3,,,,10/1/2014,10/1/2014,,Kristine Treacy,Kristine Treacy,Joseph Devlin,Kristine Treacy,Kristine Treacy,Kristine Treacy,BOSTON,Ron Gayton,,,Boston, , , , ,,BOSTON,,,,,No Status,No
