Account ID,Opportunity ID (18 Digit),Created Date,Account Name,Opportunity Name,Probability (%),Projected Annualized Revenue (converted) Currency,Projected Annualized Revenue (converted),Status,Stage,Business Unit,Region,Executive Synopsis,Product Family,Product Name,Rollup: Business Unit,Rollup: Team Lead,Primary Incumbent,Decision Date,Last Modified Date,Last Modified By,Rollup: Last Comment
001G000001jmpKc,0061600000tlVB4AAM,5/5/2017,American Beacon Advisors,USIS Cross Sell,99,USD,20500,Active Client,Negotiating/Review,Asset Manager - Core,Americas,"American Beacon wants to add additional CIT funds to current performance & analytics services (performance, attribution, risk and characteristics)",GS Performance Services,Performance - Monthly,Asset Manager - Core;,Melissa Ahern;,American Beacon Advisors,10/31/2017,9/25/2017,Melissa Ahern,
001G000001jmpKc,0061600000tlVB4AAM,5/5/2017,American Beacon Advisors,USIS Cross Sell,99,USD,17150,Active Client,Negotiating/Review,Asset Manager - Core,Americas,"American Beacon wants to add additional CIT funds to current performance & analytics services (performance, attribution, risk and characteristics)",GS Performance Services,Attribution - Portfolio,Asset Manager - Core;,Melissa Ahern;,American Beacon Advisors,10/31/2017,9/25/2017,Melissa Ahern,
001G000001jmphW,0061600000vTbOxAAK,8/14/2017,Dimensional Fund Advisors,DFA SSIA Country Based Performance Fee Reduction,99,USD,56250,Active Client,Negotiating/Review,Asset Manager - Global,Americas,"Client was being charged $6,000 per fund per year for SSIA country returns and should have been charged $2,250 per fund per year. The difference in rates is daily vs. monthly and DFA receives the monthly service. This rate discrepancy was identified by SSIA in their review of client fee schedules vs. services being provided.",GS Performance Services,Performance - Monthly,Asset Manager - Global;,Jenna Aspropotamitis;,,10/30/2017,10/12/2017,Adam Fellon,
001G000001jmok9,0061M00000waWX6QAM,10/26/2017,AEGON USA Investment Management LLC,Aegon High Yield - Monthly Performance,95,USD,15000,Active Client,Negotiating/Review,Asset Manager - Core,Americas,Aegon USA is looking for a performance solution for their High Yield LLC (security level) as well as NAV/NAV on class W and A. This opportunity may be extended to the Credit Opportunity fund to be launched in the future.,GS Performance Services,Performance - Monthly,Asset Manager - Core;,Gregory Nikiforow;Karina Tanny;,AEGON USA Investment Management LLC,12/29/2017,11/3/2017,Karina Tanny,Doug Dean accepted the proposal pending contracts on 11/3/2017-Karina Tanny 11/3/2017
001G000001jmmVH,0061600000tlGQ5AAM,5/3/2017,Lissom Investment Management Inc.,Cross Sell,95,USD,9115,Active Client,Solutioning,Asset Manager - Boutique,Americas,Single Factor Attribution for 3 Accounts,GS Performance Services,Attribution - Portfolio,Asset Manager - Boutique;,Melissa Ahern;,Lissom Investment Management Inc.,11/30/2017,11/1/2017,Melissa Ahern,
001G000001jmlSC,0061M00000wbQzhQAE,11/9/2017,Goldman Sachs,Fund Launch - Term Fund 2022,95,USD,5500,Active Client,Identified,Asset Manager - Global,Americas,"Goldman will be launching a new fund, Term Fund 2022, at the end of the year",GS Performance Services,Performance - Daily,Asset Manager - Global;,Geoffrey Brainard;,,12/29/2017,11/9/2017,Geoffrey Brainard,
001G000001jmphW,0061M00000uLZzPQAW,10/18/2017,Dimensional Fund Advisors,DFA Global Core Plus Fixed Income Portfolio,95,USD,300,Active Client,Identified,Asset Manager - Global,Americas,New fund launch,GS Performance Services,Performance - Daily,Asset Manager - Global;,David Schiller;,,12/24/2017,10/18/2017,David Schiller,
001G000001jmlSC,0061600000pXM8yAAG,8/11/2016,Goldman Sachs,"Cayman Commodity - MMA III, Ltd. - 11 Aug 2016",95,USD,5500,Active Client,Identified,Asset Manager - Global,Americas,Goldman is planning to launch a new Cayman Blocker for the GS MM Alternatives Fund - One River Sleeve,GS Performance Services,Performance - Daily,Asset Manager - Global;,Geoffrey Brainard;Andre Robichaud;David Schiller;,,1/31/2018,10/4/2017,Geoffrey Brainard,
001G000001jmphW,0061M00000wc4npQAA,11/17/2017,Dimensional Fund Advisors,Emerging Markets Sustainability Core 1 Portfolio-Fund #5912,95,USD,300,Active Client,Identified,Asset Manager - Global,Americas,New fund.,GS Performance Services,Performance - Daily,Asset Manager - Global;,David Schiller;,,1/9/2018,11/17/2017,David Schiller,
001G000001jmp9F,0061600000saUN8AAM,3/9/2017,University Hospitals Health System Inc,University Hospitals Custody RFP,95,USD,225000,Active Client,Negotiating/Review,IIS Endowments and Foundations,Americas,Callan has issued a RFP for University Hospitals. They required a wide range of services and are currently with BNYM.,GS Performance Services,Performance - Monthly,IIS Endowments and Foundations;IIS Healthcare;Retiree Services;,Michaela Hundahl;Kimberly Hill;,BNY Mellon Asset Servicing,11/30/2017,11/13/2017,Eilin Cabutto,Looking to get contract back from UH and working on fee schedule as there are concerns about which version to use.-Eilin Cabutto 11/13/2017
0011600001mRQyF,0061M00000wb2D5QAI,11/2/2017,Voya Institutional Trust Company,VITC - City of LA Performance Services,95,USD,7500,Active Client,Negotiating/Review,IIS Public Funds,Americas,Monthly Performance Services for City of LA,GS Performance Services,Performance - Monthly,IIS Public Funds;,Melissa Ahern;,Voya Institutional Trust Company,11/17/2017,11/8/2017,Melissa Ahern,
001G000001jmsU0,0061600000w8cAzAAI,9/15/2017,State Of Michigan,IIS Cross Sell - Military Plan,95,USD,750,Active Client,Negotiating/Review,IIS Public Funds,Americas,"State of Michigan is looking for performance, universe, and GASB67 for their new Military Plan.",GS Performance Services,Custom Reporting & Extracts,IIS Public Funds;,Karina Tanny;,None,11/30/2017,10/12/2017,Gregory L Forbes,
001G000001jmsU0,0061600000w8cAzAAI,9/15/2017,State Of Michigan,IIS Cross Sell - Military Plan,95,USD,5000,Active Client,Negotiating/Review,IIS Public Funds,Americas,"State of Michigan is looking for performance, universe, and GASB67 for their new Military Plan.",GS Performance Services,Performance - Money-Weighted/ GASB 67,IIS Public Funds;,Karina Tanny;,None,11/30/2017,10/12/2017,Gregory L Forbes,
001G000001jmsU0,0061600000w8cAzAAI,9/15/2017,State Of Michigan,IIS Cross Sell - Military Plan,95,USD,62000,Active Client,Negotiating/Review,IIS Public Funds,Americas,"State of Michigan is looking for performance, universe, and GASB67 for their new Military Plan.",GS Performance Services,Performance - Monthly,IIS Public Funds;,Karina Tanny;,None,11/30/2017,10/12/2017,Gregory L Forbes,
001G000001jmtCn,0061M00000wbDvhQAE,11/6/2017,Regents University of California,Performance; MWR,95,USD,5000,Active Client,Negotiating/Review,IIS Public West,Americas,"Please see below for information regarding the fee hierarchy for our MWR/IRR. With UC Regents’ approval, we’ll go ahead with the implementation of the service with our initial report date ending 6/30/2017. The service is to be implemented and billed as of 11/1/2017. 1-15 Units $5,000/year 16-25 Units $7,500/year 26-50 Units $15,000/year",GS Performance Services,Performance - Money-Weighted/ GASB 67,IIS Public West;,Mike Dunigan;,Regents University of California,11/6/2017,11/6/2017,Mike Dunigan,
